Number doctors and hospitals,Number of proposals,Average rank of match for doctors,Average rank of match for hospitals
100,389,2.89,21.01
100,428,3.28,24.23
100,449,3.49,21.92
100,364,2.64,22.13
100,456,3.56,18.24
100,544,4.44,19.84
100,460,3.6,16.24
100,582,4.82,14.91
100,579,4.79,16.85
100,386,2.86,20.71
100,356,2.56,23.03
100,433,3.33,20.6
100,438,3.38,20.04
100,476,3.76,17.76
100,619,5.19,14.45
100,524,4.24,18.35
100,331,2.31,27.39
100,381,2.81,25.45
100,424,3.24,21.13
100,604,5.04,11.96
100,370,2.7,23.82
100,352,2.52,23.79
100,432,3.32,24.41
100,504,4.04,18.34
100,589,4.89,18.15
100,592,4.92,16.09
100,325,2.25,28.77
100,424,3.24,22.66
100,310,2.1,27.09
100,293,1.93,34.66
100,450,3.5,24.51
100,639,5.39,15.19
100,512,4.12,16.83
100,448,3.48,17.22
100,531,4.31,16.82
100,547,4.47,16.36
100,471,3.71,21.73
100,870,7.7,9.81
100,488,3.88,20.58
100,612,5.12,17.24
100,479,3.79,17.67
100,902,8.02,10.83
100,393,2.93,21.49
100,369,2.69,22.01
100,472,3.72,20.56
100,338,2.38,25.95
100,423,3.23,20.29
100,423,3.23,21.03
100,511,4.11,20.66
100,604,5.04,18.2
100,455,3.55,21.19
100,461,3.61,22.11
100,405,3.05,18.54
100,327,2.27,26.71
100,504,4.04,19.08
100,444,3.44,21.96
100,470,3.7,17.34
100,438,3.38,20.1
100,504,4.04,17.71
100,459,3.59,15.23
100,602,5.02,16.09
100,478,3.78,16.03
100,407,3.07,21.39
100,433,3.33,20.72
100,550,4.5,15.78
100,650,5.5,12.68
100,468,3.68,19.76
100,538,4.38,18.27
100,412,3.12,22.85
100,432,3.32,24.43
100,426,3.26,20.2
100,503,4.03,19.13
100,427,3.27,19.97
100,467,3.67,16.59
100,411,3.11,20.15
100,346,2.46,25.48
100,511,4.11,17.51
100,382,2.82,20.29
100,416,3.16,22.99
100,579,4.79,18.13
100,392,2.92,22.03
100,550,4.5,17.69
100,350,2.5,24.04
100,373,2.73,23.84
100,945,8.45,9.74
100,568,4.68,18.22
100,522,4.22,18.54
100,510,4.1,17.93
100,410,3.1,22.21
100,474,3.74,19.4
100,512,4.12,19.01
100,477,3.77,21.75
100,393,2.93,26.06
100,400,3,22.1
100,427,3.27,22.56
100,383,2.83,21.13
100,510,4.1,18.22
100,454,3.54,19.32
100,520,4.2,18.34
100,392,2.92,24.24
200,1188,4.94,36.115
200,965,3.825,41.7
200,1389,5.945,26.61
200,1126,4.63,34.235
200,1126,4.63,35.56
200,1101,4.505,32.53
200,1473,6.365,25.79
200,1036,4.18,36.355
200,955,3.775,40.485
200,939,3.695,36.19
200,1395,5.975,25.96
200,1106,4.53,32.35
200,1020,4.1,33.15
200,1110,4.55,29.845
200,937,3.685,44.165
200,995,3.975,32.76
200,1023,4.115,33.975
200,953,3.765,42.795
200,1094,4.47,35.74
200,1488,6.44,23.995
200,1519,6.595,25.035
